page,query,clicks,impressions,ctr,position
"https://www.tennisfrens.com/players/arthur-landercknech","아르튀르 랭데르크네슈",0,235,0.00,10.88
"https://www.tennisfrens.com/players/martin-landaluce","란달루세",2,224,0.89,9.35
"https://tennisfrens.com/players/marie-bouzkova","마리 부즈코바",3,210,1.43,9.52
"https://www.tennisfrens.com/players/miomir-kecmanovic","미오미르 케크마노비치",0,150,0.00,9.39
"https://www.tennisfrens.com/players/jiri-lehecka","이르지 레헤치카",0,127,0.00,10.06
"https://www.tennisfrens.com/players/martin-landaluce","마르틴 란달루세",0,75,0.00,10.43
"https://www.tennisfrens.com/players/camilo-ugo-carabelli","카밀로 우고 카라벨리",2,65,3.08,7.29
"https://www.tennisfrens.com/players/alexandre-muller","알렉상드르 뮐러",0,65,0.00,8.03
"https://www.tennisfrens.com/utility/ntrp-test","ntrp 테스트",20,64,31.25,2.33
"https://www.tennisfrens.com/players/polina-kudermetova","폴리나 쿠데르메토바",0,46,0.00,11.78
"https://tennisfrens.com/players/yannick-hanfmann","야닉 한프만",0,43,0.00,11.14
"https://tennisfrens.com/players/daniel-evans","다니엘 ���반스",0,39,0.00,7.69
"https://www.tennisfrens.com/players/hamad-medjedovic","하마드 메제도비치",0,32,0.00,10.25
"https://www.tennisfrens.com/players/tomas-machac","토마시 마하치",0,31,0.00,12.00
"https://www.tennisfrens.com/players/linda-noskova","린다 노스코바",0,30,0.00,10.40
"https://www.tennisfrens.com/players/francisco-comesana","프란시스코 코메사나",0,28,0.00,6.89
"https://www.tennisfrens.com/players/tallon-griekspoor","탈론 그리에크스푸르",0,27,0.00,10.30
"https://www.tennisfrens.com/players/ethan-quinn","에�� 퀸",0,25,0.00,6.88
"https://www.tennisfrens.com/","테니스프렌즈",2,20,10.00,2.35
"https://www.tennisfrens.com/players/yannick-hanfmann","야닉 한프만",0,19,0.00,9.37
"https://www.tennisfrens.com/players/dino-prizmic","프리즈미치",1,18,5.56,8.39
"https://www.tennisfrens.com/players/alejandro-davidovich-fokina","알레한드로 다비도비치 포키나",0,18,0.00,13.33
"https://www.tennisfrens.com/players/laslo-djere","라슬로 제레",0,17,0.00,8.82
"https://www.tennisfrens.com/players/jakub-mensik","멘식 테니스",0,13,0.00,11.38
"https://www.tennisfrens.com/players/jannik-sinner","야닉 시너",0,12,0.00,33.83
"https://www.tennisfrens.com/blog/tennis-error-reduction-guide","언포스드 에러",0,11,0.00,10.00
"https://tennisfrens.com/players/marin-cilic","마린 칠리치",0,10,0.00,12.80
"https://www.tennisfrens.com/players/katie-boulter","케이티 볼터",0,10,0.00,11.00
"https://www.tennisfrens.com/utility/play-style-test","테니스플레이",0,10,0.00,7.10
"https://tennisfrens.com/players/tallon-griekspoor","탈론 그리에크스푸르",0,8,0.00,12.00
"https://www.tennisfrens.com/players/alexandra-eala","이알라",0,8,0.00,18.50
"https://www.tennisfrens.com/players/karen-khachanov","카렌 카차노프",0,7,0.00,27.43
"https://www.tennisfrens.com/blog/tennis-ntrp-30-to-35-guide","ntrp 3.0",0,6,0.00,9.33
"https://www.tennisfrens.com/players/carlos-alcaraz","카를로스 알카라스",0,6,0.00,43.00
"https://www.tennisfrens.com/players/dino-prizmic","디노 프리즈미치",0,6,0.00,9.83
"https://tennisfrens.com/utility/ntrp-test","ntrp 테스트",1,5,20.00,2.60
"https://www.tennisfrens.com/players/andrey-rublev","루블레프",0,5,0.00,7.60
"https://www.tennisfrens.com/players/ben-shelton","벤 쉘튼",0,5,0.00,61.60
"https://www.tennisfrens.com/players/carlos-alcaraz","카를로스 알 카라스",0,5,0.00,63.40
"https://www.tennisfrens.com/players/novak-djokovic","노바 크 조코비치",0,5,0.00,75.20
"https://www.tennisfrens.com/players/hailey-baptiste","헤일리 밥티스트",1,4,25.00,12.00
"https://tennisfrens.com/players/lleyton-hewitt","레이튼 휴이트",0,4,0.00,4.75
"https://tennisfrens.com/players/mackenzie-mcdonald","맥켄지 맥도날드",0,4,0.00,16.50
"https://tennisfrens.com/players/rafael-nadal","나달",0,4,0.00,37.75
"https://www.tennisfrens.com/","ntrp 테스트",0,4,0.00,17.00
"https://www.tennisfrens.com/blog/aw-227-tennis-guide","언포스드 에러",0,4,0.00,11.25
"https://www.tennisfrens.com/blog/tennis-ntrp-25-to-30-guide","ntrp 2.5",0,4,0.00,9.00
"https://www.tennisfrens.com/players/alexander-blockx","알렉산더 블록스",0,4,0.00,11.00
"https://www.tennisfrens.com/players/carlos-alcaraz","알카라스",0,4,0.00,39.75
"https://www.tennisfrens.com/players/dominic-thiem","도미니크 티엠",0,4,0.00,30.25
"https://www.tennisfrens.com/players/jakub-mensik","야쿱 멘식",0,4,0.00,12.25
"https://www.tennisfrens.com/players/jannik-sinner","야닉시너",0,4,0.00,35.75
"https://www.tennisfrens.com/players/lulu-sun","룰루 선",0,4,0.00,10.75
"https://www.tennisfrens.com/players/tomas-machac","마하치",0,4,0.00,7.50
"https://www.tennisfrens.com/blog/tennis-ntrp-30-to-35-guide","ntrp 3.5",1,3,33.33,8.33
"https://www.tennisfrens.com/players/carlos-alcaraz","알카라즈",1,3,33.33,29.00
"https://tennisfrens.com/","테니스프렌즈",0,3,0.00,2.00
"https://tennisfrens.com/utility/ntrp-test","ntrp",0,3,0.00,19.67
"https://www.tennisfrens.com/blog/tommy-paul","토미 폴",0,3,0.00,18.33
"https://www.tennisfrens.com/players/beatriz-haddad-maia","베아트리스 하다드 마이아",0,3,0.00,9.33
"https://www.tennisfrens.com/players/elina-svitolina","엘리나 스비톨리나",0,3,0.00,38.00
"https://www.tennisfrens.com/players/federico-cina","페데리코 시나",0,3,0.00,9.00
"https://www.tennisfrens.com/players/hamad-medjedovic","메제도비치",0,3,0.00,6.67
"https://www.tennisfrens.com/players/linda-noskova","노스코바",0,3,0.00,14.67
"https://www.tennisfrens.com/players/luciano-darderi","루치아노 다르 데리",0,3,0.00,18.67
"https://www.tennisfrens.com/players/luciano-darderi","루치아노 다르데리",0,3,0.00,12.67
"https://www.tennisfrens.com/players/novak-djokovic","노바크 조코비치",0,3,0.00,33.67
"https://www.tennisfrens.com/utility/tennis-dictionary","테니스 용어",0,3,0.00,37.33
"https://tennisfrens.com/players/aleksandar-vukic","aleksandar vukic ranking",0,2,0.00,70.50
"https://tennisfrens.com/players/jannik-sinner","시너",0,2,0.00,44.00
"https://tennisfrens.com/players/rafael-nadal","nadal",0,2,0.00,50.00
"https://tennisfrens.com/players/rafael-nadal","라파엘 나달",0,2,0.00,44.00
"https://www.tennisfrens.com/blog/tennis-first-rally-goal-beginner","테니스 랠리 언제부터",0,2,0.00,19.00
"https://www.tennisfrens.com/blog/tennis-kick-serve-technique","킥서브",0,2,0.00,26.50
"https://www.tennisfrens.com/blog/tennis-ntrp-2-to-3","ntrp 2.0",0,2,0.00,9.00
"https://www.tennisfrens.com/blog/tennis-ntrp-35-to-40-guide","ntrp 3.5",0,2,0.00,7.00
"https://www.tennisfrens.com/blog/tennis-starting-complete-guide","테니스 준비물",0,2,0.00,17.00
"https://www.tennisfrens.com/blog/tennis-travel-court-finder-guide","테니스 여행",0,2,0.00,39.00
"https://www.tennisfrens.com/blog/tommy-paul","토미폴",0,2,0.00,26.00
"https://www.tennisfrens.com/players/alexandra-eala","알렉산드라 이알라",0,2,0.00,20.00
"https://www.tennisfrens.com/players/ben-shelton","벤쉘튼",0,2,0.00,38.50
