page,clicks,impressions,ctr,position
"https://www.tennisfrens.com/players/martin-landaluce",3,346,0.87,9.34
"https://www.tennisfrens.com/players/arthur-landercknech",0,202,0.00,10.45
"https://www.tennisfrens.com/players/miomir-kecmanovic",0,158,0.00,9.34
"https://tennisfrens.com/players/daniel-evans",0,94,0.00,7.19
"https://www.tennisfrens.com/utility/ntrp-test",16,84,19.05,4.63
"https://www.tennisfrens.com/players/dino-prizmic",2,68,2.94,8.22
"https://tennisfrens.com/players/marie-bouzkova",0,52,0.00,7.88
"https://www.tennisfrens.com/players/laslo-djere",0,49,0.00,8.59
"https://tennisfrens.com/players/yannick-hanfmann",0,48,0.00,10.83
"https://www.tennisfrens.com/players/polina-kudermetova",0,46,0.00,11.57
"https://www.tennisfrens.com/",5,45,11.11,6.96
"https://tennisfrens.com/blog/tennis-lesson-cost-guide",0,44,0.00,5.80
"https://www.tennisfrens.com/utility/tennis-dictionary",2,39,5.13,10.74
"https://www.tennisfrens.com/players/alejandro-davidovich-fokina",0,31,0.00,14.39
"https://www.tennisfrens.com/players/tomas-machac",0,31,0.00,11.87
"https://www.tennisfrens.com/players/carlos-alcaraz",0,25,0.00,50.68
"https://tennisfrens.com/",0,23,0.00,8.17
"https://www.tennisfrens.com/players/karen-khachanov",0,23,0.00,19.35
"https://www.tennisfrens.com/players/jannik-sinner",0,22,0.00,35.82
"https://tennisfrens.com/players/rafael-nadal",0,20,0.00,35.30
"https://www.tennisfrens.com/players/luciano-darderi",0,20,0.00,10.45
"https://tennisfrens.com/players/jannik-sinner",4,19,21.05,15.89
"https://tennisfrens.com/players/tallon-griekspoor",0,19,0.00,8.89
"https://www.tennisfrens.com/players/jakub-mensik",0,19,0.00,13.68
"https://www.tennisfrens.com/players/yannick-hanfmann",0,19,0.00,9.58
"https://www.tennisfrens.com/players/elina-svitolina",0,18,0.00,23.28
"https://www.tennisfrens.com/players/ethan-quinn",0,18,0.00,6.61
"https://www.tennisfrens.com/blog/tennis-shoe-court-surface-guide",0,17,0.00,8.29
"https://tennisfrens.com/players/marin-cilic",0,16,0.00,19.56
"https://www.tennisfrens.com/players/ben-shelton",0,16,0.00,23.44
"https://www.tennisfrens.com/players/camilo-ugo-carabelli",0,16,0.00,9.06
"https://www.tennisfrens.com/players/elena-rybakina",0,15,0.00,8.40
"https://www.tennisfrens.com/players/tommy-paul",0,15,0.00,12.93
"https://tennisfrens.com/players/alejandro-davidovich-fokina",0,14,0.00,9.14
"https://www.tennisfrens.com/players/mirra-andreeva",0,14,0.00,9.64
"https://www.tennisfrens.com/players/novak-djokovic",0,14,0.00,45.79
"https://www.tennisfrens.com/players/arthur-fils",0,13,0.00,7.62
"https://www.tennisfrens.com/players/hamad-medjedovic",0,13,0.00,8.92
"https://www.tennisfrens.com/players/wang-xinyu",0,13,0.00,20.00
"https://www.tennisfrens.com/blog/tennis-error-reduction-guide",1,12,8.33,8.92
"https://tennisfrens.com/utility/ntrp-test",1,11,9.09,7.82
"https://tennisfrens.com/players/gael-monfils",0,11,0.00,16.00
"https://www.tennisfrens.com/blog/tennis-strategy-beat-pusher",0,11,0.00,6.36
"https://www.tennisfrens.com/blog/tommy-paul",0,11,0.00,14.09
"https://tennisfrens.com/players/mackenzie-mcdonald",0,10,0.00,12.20
"https://www.tennisfrens.com/blog/tennis-string-pattern-16x19-vs-18x20",0,10,0.00,7.90
"https://www.tennisfrens.com/players/alexander-bublik",0,10,0.00,22.90
"https://www.tennisfrens.com/players/felix-auger-aliassime",0,10,0.00,11.20
"https://www.tennisfrens.com/players/flavio-cobolli",0,10,0.00,4.90
"https://www.tennisfrens.com/players/sorana-cirstea",0,10,0.00,8.40
